token_id,ticket_id,user_id,image,name,description,event_name,event_date,event_address,section,row,seat
17,ticket-num-1201010-017,nicolas.plancherel@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-017).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
18,ticket-num-1201010-018,nicolas.plancherel@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-018).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
19,ticket-num-1201010-019,nicolas.plancherel@tixngo.io,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-019).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
20,ticket-num-1201010-024,luca.ziche@elca.ch,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-024).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
21,ticket-num-1201010-025,luca.ziche@elca.ch,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-025).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
22,ticket-num-1201010-026,luca.ziche@elca.ch,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-026).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
23,ticket-num-1201010-027,luca.ziche@elca.ch,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-027).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
24,ticket-num-1201010-028,tvg@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-028).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
25,ticket-num-1201010-029,tvg@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-029).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
26,ticket-num-1201010-030,tvg@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-030).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
27,ticket-num-1201010-031,tvg@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-031).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
28,ticket-num-1201010-032,tvg@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-032).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
29,ticket-num-1201010-033,lnn.lnn01@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-033).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
30,ticket-num-1201010-034,lnn.lnn01@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-034).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
31,ticket-num-1201010-035,lnn.lnn01@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-035).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
32,ticket-num-1201010-036,lnn.lnn01@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-036).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
33,ticket-num-1201010-037,lnn.lnn01@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-037).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
34,ticket-num-1201010-038,lnn.lnn01@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-038).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
35,ticket-num-1201010-039,lnn.lnn01@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-039).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
36,ticket-num-1201010-040,lnn.lnn01@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-040).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
37,ticket-num-1201010-041,lnn.lnn01@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-041).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
38,ticket-num-1201010-042,mht@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-042).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
39,ticket-num-1201010-043,mht@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-043).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
40,ticket-num-1201010-044,mht@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-044).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
41,ticket-num-1201010-045,mht@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-045).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
42,ticket-num-1201010-046,mht@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-046).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
43,ticket-num-1201010-047,mht@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-047).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
44,ticket-num-1201010-048,mht@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-048).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
45,ticket-num-1201010-049,mht@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-049).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
46,ticket-num-1201010-050,mht@mailinator.com,https://r.tixngo.io/nfl/banner.jpg,NFL PRO BOWL 2022 TEST,A souvenir NFT for NFL PRO BOWL 2022 TEST (ticket-num-1201010-050).,NFL PRO BOWL 2022 TEST,2022-02-06T15:00:00+07:00,"Allegiant Stadium, Nevada (US)",A,A1,13
